linkedin,instagram,twitter,facebook,description,technographic,company_type,validation_status,input_domain
https://www.linkedin.com/company/seranittr/?originalSubdomain=tr,https://www.instagram.com/seranittr,,https://www.facebook.com/Seranittr,,"{'widgets': ['OWL Carousel'], 'javascript-frameworks': ['jQuery'], 'photo-galleries': ['jQuery', 'OWL Carousel'], 'web-frameworks': ['Twitter Bootstrap']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.seranit.com.tr
,,,,,"{'javascript-frameworks': ['Modernizr', 'jQuery'], 'web-frameworks': ['Twitter Bootstrap']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.dothewritethingchicago.org
https://www.linkedin.com/company/steelco-international-trading,https://www.instagram.com/steelcoqatar,https://twitter.com/steelcoqatar,https://www.facebook.com/steelcoqatar,,"{'font-scripts': ['Font Awesome', 'Google Font API'], 'widgets': ['OWL Carousel'], 'javascript-frameworks': ['jQuery', 'Underscore.js'], 'photo-galleries': ['jQuery'], 'web-frameworks': ['Twitter Bootstrap'], 'ecommerce': ['WooCommerce'], 'cms': ['WordPress'], 'programming-languages': ['PHP'], 'blogs': ['PHP', 'WordPress']}","{'job_page': 'Yes', 'job_opening_admin': 'No', 'job_opening_engg': 'No', 'job_opening_analytics': 'No', 'job_opening_IT': 'No', 'job_opening_marketing': 'Yes', 'job_opening_sales': 'Yes', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.steelcoqatar.com
,,,,,"{'font-scripts': ['Google Font API'], 'javascript-frameworks': ['MooTools', 'jQuery'], 'web-frameworks': ['Twitter Bootstrap'], 'cms': ['Joomla'], 'programming-languages': ['PHP']}","{'video_content': 'Yes', 'event': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'webinar': 'No'}",valid,www.sjwschool.org
,,,,,,"{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",timeout error,www.salmanstores.com
,,,,北海道の大地に道を拓く。道路工業株式会社の企業概要、拠点、事業紹介、技術紹介、環境への取り組み、採用情報を掲載しています。,"{'font-scripts': ['Google Font API'], 'tag-managers': ['Google Tag Manager'], 'cms': ['WordPress'], 'programming-languages': ['PHP'], 'blogs': ['PHP', 'WordPress'], 'javascript-frameworks': ['jQuery']}","{'job_page': 'Yes', 'job_opening_admin': 'No', 'job_opening_engg': 'No', 'job_opening_analytics': 'No', 'job_opening_IT': 'No', 'job_opening_marketing': 'No', 'job_opening_sales': 'No', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.dorokogyo.co.jp
,,,,eラーニングは企業では、全国各地で新入社員研修など社内研修学習に導入され、大学や学習塾等の教育機関では教育システム・オンライン学習・教材開発で利用されています。デジタル・ナレッジではイーラーニングシステムの企画・導入から運用まで一貫してサポ,"{'tag-managers': ['Google Tag Manager'], 'web-frameworks': ['Twitter Bootstrap'], 'cms': ['WordPress'], 'programming-languages': ['PHP'], 'blogs': ['PHP', 'WordPress'], 'cache-tools': ['WordPress Super Cache'], 'javascript-frameworks': ['jQuery']}","{'certificate': 'Yes', 'event': 'Yes', 'video_content': 'Yes', 'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'webinar': 'No'}",valid,www.digital-knowledge.co.jp
,,,,電盛社は、電気及び情報通信のエンジニアリング業務をベースに、ICT・IoTソリューションの開発、提供をしております。,"{'font-scripts': ['Google Font API'], 'javascript-frameworks': ['jQuery']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.densei.co.jp
,,https://twitter.com/share,,信頼で“食”を包むプラスチック軽量食品容器の総合メーカー「デンカポリマー株式会社」は「おいしそう」を化学します。,"{'video-players': ['YouTube'], 'javascript-frameworks': ['jQuery']}","{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",valid,www.denkapolymer.co.jp
,,,,,,"{'job_opening_admin': '', 'job_opening_engg': '', 'job_opening_analytics': '', 'job_opening_IT': '', 'job_opening_marketing': '', 'job_opening_sales': '', 'ai_first': 'No', 'certificate': 'No', 'community': 'No', 'demo': 'No', 'ecommerce': 'No', 'event': 'No', 'free_plan': 'No', 'free_trial': 'No', 'generative_ai': 'No', 'job_page': 'No', 'newsletter': 'No', 'offer': 'No', 'partner': 'No', 'plg': 'No', 'press_release': 'No', 'pricing': 'No', 'product_tour': 'No', 'video_content': 'No', 'webinar': 'No'}",connection error,www.deltareadymix.co.za
